program_kodu,universite,fakulte,program_adi,program_adi_tam,puan_turu,son_yil,son_yil_taban_puan,son_yil_tavan_puan,son_yil_kontenjan,tahmini_taban_puan_2026,tahmini_kontenjan_2026,veri_yili_sayisi
100110054,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ/Eğitim Fakültesi/Okul Öncesi Öğretmenliği,SÖZ,2025,299.906,299.906,1,301.748,0,5
100110115,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Biyoloji (İngilizce),BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ/Fen-Edebiyat Fakültesi/Biyoloji (İngilizce),SAY,2025,246.625,254.061,4,253.378,5,5
100110124,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Fizik (İngilizce),BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ/Fen-Edebiyat Fakültesi/Fizik (İngilizce),SAY,2024,200.208,205.53,2,191.785,2,4
100110133,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Kimya (İngilizce),BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ/Fen-Edebiyat Fakültesi/Kimya (İngilizce),SAY,2025,243.828,248.634,4,246.532,4,5
100110169,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Sosyoloji,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ/Fen-Edebiyat Fakültesi/Sosyoloji,EA,2025,192.792,202.625,4,180.647,5,5
100110196,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,İktisat,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ/İktisadi ve İdari Bilimler Fakültesi/İktisat,EA,2025,186.495,253.337,9,184.647,8,5
100110203,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,İşletme,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ/İktisadi ve İdari Bilimler Fakültesi/İşletme,EA,2025,211.347,264.699,9,216.795,8,5
100110212,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Kamu Yönetimi,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ/İktisadi ve İdari Bilimler Fakültesi/Kamu Yönetimi,EA,2025,207.254,207.254,9,213.133,10,5
100110221,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Uluslararası İlişkiler,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ/İktisadi ve İdari Bilimler Fakültesi/Uluslararası İlişkiler,EA,2025,172.371,172.371,8,167.73,8,3
100110239,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Mühendislik Fakültesi,Gıda Mühendisliği,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ/Mühendislik Fakültesi/Gıda Mühendisliği,SAY,2025,264.223,264.223,1,265.553,0,5
100110399,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Mühendislik Fakültesi,Makine Mühendisliği,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ/Mühendislik Fakültesi/Makine Mühendisliği,SAY,2025,292.49,295.188,3,296.72,1,5
100110406,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Mimarlık Fakültesi,Mimarlık,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ/Mimarlık Fakültesi/Mimarlık,SAY,2025,279.937,280.959,3,280.385,1,5
