KONULAR,2017,2018,2019,2020,2021,2022,2023,2024,2025
Temel Kavramlar,1,1,2,3,2,1,3,2,2
Ardışık Sayılar,1,1,–,1,1,–,–,–,–
Sayı Basamakları,1,1,1,1,2,2,1,2,3
Bölme ve Bölünebilme,2,–,1,1,1,1,1,1,1
Asal Sayılar,1,–,–,1,–,–,–,–,–
OBEB-OKEK,–,–,–,–,–,–,–,–,–
Faktöriyel,1,–,1,1,1,1,1,1,1
Basit Eşitsizlikler,2,3,1,1,2,1,2,2,2
Mutlak Değer,1,1,1,1,2,1,1,1,1
Rasyonel Sayılar,2,–,2,2,2,1,2,1,1
Üslü Sayılar,2,2,1,2,1,2,2,2,2
Köklü Sayılar,1,2,2,1,2,1,1,1,1
Oran-Orantı,2,2,2,2,1,1,–,–,–
Çarpanlara Ayırma,1,1,2,–,1,–,1,–,–
Denklem Çözme,1,2,1,1,1,1,–,1,1
Sayı ve Kesir Problemleri,8,7,4,5,6,1,4,4,3
Yaş Problemleri,1,1,1,1,1,1,1,1,1
Hareket & Hız Problemleri,1,1,1,1,2,1,1,1,1
Karışım Problemleri,–,1,–,–,–,–,–,–,–
İşçi-Havuz Problemleri,1,–,–,–,–,–,–,–,–
Yüzde & Kar – Zarar Problemleri,1,1,3,2,2,4,2,1,3
Tablo – Grafik Problemleri,–,–,–,–,–,1,2,2,3
Saat-Gün Problemleri,2,–,–,–,–,2,1,–,–
Kümeler,1,1,2,2,2,1,1,1,1
Fonsiyonlar,2,1,1,1,1,1,–,1,1
Sayı Dizileri,1,1,–,–,–,–,–,–,–
Permütasyon ve Kombinasyon,1,1,1,1,1,1,1,–,1
Olasılık,1,1,1,1,1,–,1,1,1
İşlem ve Modüler Aritmetik,1,1,1,4,3,–,1,–,–
Grafik ve tablolar,–,3,6,2,2,–,–,–,–
Sayısal Mantık,13,17,15,15,13,17,13,17,13
TOPLAM,53,53,53,53,53,43,43,43,43
