konu,yil,soru_sayisi
Temel Kavramlar,2017,1
Ardışık Sayılar,2017,1
Sayı Basamakları,2017,1
Bölme ve Bölünebilme,2017,2
Asal Sayılar,2017,1
OBEB-OKEK,2017,0
Faktöriyel,2017,1
Basit Eşitsizlikler,2017,2
Mutlak Değer,2017,1
Rasyonel Sayılar,2017,2
Üslü Sayılar,2017,2
Köklü Sayılar,2017,1
Oran-Orantı,2017,2
Çarpanlara Ayırma,2017,1
Denklem Çözme,2017,1
Sayı ve Kesir Problemleri,2017,8
Yaş Problemleri,2017,1
Hareket & Hız Problemleri,2017,1
Karışım Problemleri,2017,0
İşçi-Havuz Problemleri,2017,1
Yüzde & Kar – Zarar Problemleri,2017,1
Tablo – Grafik Problemleri,2017,0
Saat-Gün Problemleri,2017,2
Kümeler,2017,1
Fonsiyonlar,2017,2
Sayı Dizileri,2017,1
Permütasyon ve Kombinasyon,2017,1
Olasılık,2017,1
İşlem ve Modüler Aritmetik,2017,1
Grafik ve tablolar,2017,0
Sayısal Mantık,2017,13
TOPLAM,2017,53
Temel Kavramlar,2018,1
Ardışık Sayılar,2018,1
Sayı Basamakları,2018,1
Bölme ve Bölünebilme,2018,0
Asal Sayılar,2018,0
OBEB-OKEK,2018,0
Faktöriyel,2018,0
Basit Eşitsizlikler,2018,3
Mutlak Değer,2018,1
Rasyonel Sayılar,2018,0
Üslü Sayılar,2018,2
Köklü Sayılar,2018,2
Oran-Orantı,2018,2
Çarpanlara Ayırma,2018,1
Denklem Çözme,2018,2
Sayı ve Kesir Problemleri,2018,7
Yaş Problemleri,2018,1
Hareket & Hız Problemleri,2018,1
Karışım Problemleri,2018,1
İşçi-Havuz Problemleri,2018,0
Yüzde & Kar – Zarar Problemleri,2018,1
Tablo – Grafik Problemleri,2018,0
Saat-Gün Problemleri,2018,0
Kümeler,2018,1
Fonsiyonlar,2018,1
Sayı Dizileri,2018,1
Permütasyon ve Kombinasyon,2018,1
Olasılık,2018,1
İşlem ve Modüler Aritmetik,2018,1
Grafik ve tablolar,2018,3
Sayısal Mantık,2018,17
TOPLAM,2018,53
Temel Kavramlar,2019,2
Ardışık Sayılar,2019,0
Sayı Basamakları,2019,1
Bölme ve Bölünebilme,2019,1
Asal Sayılar,2019,0
OBEB-OKEK,2019,0
Faktöriyel,2019,1
Basit Eşitsizlikler,2019,1
Mutlak Değer,2019,1
Rasyonel Sayılar,2019,2
Üslü Sayılar,2019,1
Köklü Sayılar,2019,2
Oran-Orantı,2019,2
Çarpanlara Ayırma,2019,2
Denklem Çözme,2019,1
Sayı ve Kesir Problemleri,2019,4
Yaş Problemleri,2019,1
Hareket & Hız Problemleri,2019,1
Karışım Problemleri,2019,0
İşçi-Havuz Problemleri,2019,0
Yüzde & Kar – Zarar Problemleri,2019,3
Tablo – Grafik Problemleri,2019,0
Saat-Gün Problemleri,2019,0
Kümeler,2019,2
Fonsiyonlar,2019,1
Sayı Dizileri,2019,0
Permütasyon ve Kombinasyon,2019,1
Olasılık,2019,1
İşlem ve Modüler Aritmetik,2019,1
Grafik ve tablolar,2019,6
Sayısal Mantık,2019,15
TOPLAM,2019,53
Temel Kavramlar,2020,3
Ardışık Sayılar,2020,1
Sayı Basamakları,2020,1
Bölme ve Bölünebilme,2020,1
Asal Sayılar,2020,1
OBEB-OKEK,2020,0
Faktöriyel,2020,1
Basit Eşitsizlikler,2020,1
Mutlak Değer,2020,1
Rasyonel Sayılar,2020,2
Üslü Sayılar,2020,2
Köklü Sayılar,2020,1
Oran-Orantı,2020,2
Çarpanlara Ayırma,2020,0
Denklem Çözme,2020,1
Sayı ve Kesir Problemleri,2020,5
Yaş Problemleri,2020,1
Hareket & Hız Problemleri,2020,1
Karışım Problemleri,2020,0
İşçi-Havuz Problemleri,2020,0
Yüzde & Kar – Zarar Problemleri,2020,2
Tablo – Grafik Problemleri,2020,0
Saat-Gün Problemleri,2020,0
Kümeler,2020,2
Fonsiyonlar,2020,1
Sayı Dizileri,2020,0
Permütasyon ve Kombinasyon,2020,1
Olasılık,2020,1
İşlem ve Modüler Aritmetik,2020,4
Grafik ve tablolar,2020,2
Sayısal Mantık,2020,15
TOPLAM,2020,53
Temel Kavramlar,2021,2
Ardışık Sayılar,2021,1
Sayı Basamakları,2021,2
Bölme ve Bölünebilme,2021,1
Asal Sayılar,2021,0
OBEB-OKEK,2021,0
Faktöriyel,2021,1
Basit Eşitsizlikler,2021,2
Mutlak Değer,2021,2
Rasyonel Sayılar,2021,2
Üslü Sayılar,2021,1
Köklü Sayılar,2021,2
Oran-Orantı,2021,1
Çarpanlara Ayırma,2021,1
Denklem Çözme,2021,1
Sayı ve Kesir Problemleri,2021,6
Yaş Problemleri,2021,1
Hareket & Hız Problemleri,2021,2
Karışım Problemleri,2021,0
İşçi-Havuz Problemleri,2021,0
Yüzde & Kar – Zarar Problemleri,2021,2
Tablo – Grafik Problemleri,2021,0
Saat-Gün Problemleri,2021,0
Kümeler,2021,2
Fonsiyonlar,2021,1
Sayı Dizileri,2021,0
Permütasyon ve Kombinasyon,2021,1
Olasılık,2021,1
İşlem ve Modüler Aritmetik,2021,3
Grafik ve tablolar,2021,2
Sayısal Mantık,2021,13
TOPLAM,2021,53
Temel Kavramlar,2022,1
Ardışık Sayılar,2022,0
Sayı Basamakları,2022,2
Bölme ve Bölünebilme,2022,1
Asal Sayılar,2022,0
OBEB-OKEK,2022,0
Faktöriyel,2022,1
Basit Eşitsizlikler,2022,1
Mutlak Değer,2022,1
Rasyonel Sayılar,2022,1
Üslü Sayılar,2022,2
Köklü Sayılar,2022,1
Oran-Orantı,2022,1
Çarpanlara Ayırma,2022,0
Denklem Çözme,2022,1
Sayı ve Kesir Problemleri,2022,1
Yaş Problemleri,2022,1
Hareket & Hız Problemleri,2022,1
Karışım Problemleri,2022,0
İşçi-Havuz Problemleri,2022,0
